type,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms
thermal2_thermal problem,1228045,1,0,0.026896,0.025837,3.853548
west0655_chemical process simulation problem,655,655,2854,0.023626,0.013475,0.004710
bcsstk31_structural problem,35588,608502,0.054323,0.040211,27.074995
bayer10_chemical process simulation problem,13436,13436,94926,0.025162,0.016982,0.102694
bayer10_chemical process simulation problem,13436,1,0,0.006134,0.006051,0.002031
poli4_economic problem,33833,33833,73249,0.028723,0.018006,0.166631
poli3_economic problem,16955,16955,37849,0.025405,0.015875,0.111806
bcsstk18_structural problem,11948,11948,80519,0.024000,0.015280,0.139350
west0479_chemical process simulation problem,479,479,1910,0.023120,0.015114,0.003957
bayer04_chemical process simulation problem,20545,20545,159082,0.028365,0.020634,0.221702
bayer04_chemical process simulation problem,20545,1,0,0.006448,0.007123,0.002189
bayer09_chemical process simulation problem,3083,1,0,0.006538,0.006202,0.000689
bayer09_chemical process simulation problem,3083,3083,21216,0.023648,0.015469,0.024369
bayer08_chemical process simulation problem,3008,3008,27576,0.022419,0.013366,0.025996
