type,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms
thermal2_thermal problem/thermal2_b.mtx,1228045,1,0,0.026602,0.025814,3.647735
west0655_chemical process simulation problem/west0655.mtx,655,655,2854,0.015664,0.021456,0.004926
bcsstk31_structural problem/bcsstk31.mtx,35588,35588,608502,0.042816,0.049750,0.735024
bayer10_chemical process simulation problem/bayer10.mtx,13436,13436,94926,0.017002,0.027046,0.142584
bayer10_chemical process simulation problem/bayer10_b.mtx,13436,1,0,0.007706,0.006112,0.001647
poli4_economic problem/poli4.mtx,33833,33833,73249,0.020941,0.026003,0.171071
poli3_economic problem/poli3.mtx,16955,16955,37849,0.017430,0.023504,0.103783
bcsstk18_structural problem/bcsstk18.mtx,11948,11948,80519,0.019571,0.026643,0.155085
west0479_chemical process simulation problem/west0479.mtx,479,479,1910,0.019066,0.018250,0.005956
bayer04_chemical process simulation problem/bayer04.mtx,20545,20545,159082,0.020986,0.029654,0.364191
bayer04_chemical process simulation problem/bayer04_b.mtx,20545,1,0,0.007994,0.008125,0.002411
bayer09_chemical process simulation problem/bayer09_b.mtx,3083,1,0,0.010854,0.007766,0.000977
bayer09_chemical process simulation problem/bayer09.mtx,3083,3083,21216,0.016790,0.023062,0.041101
bayer08_chemical process simulation problem/bayer08.mtx,3008,3008,27576,0.019402,0.025363,0.042619
