matrix_name,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms
data/ssm/thermal2_thermal problem/thermal2_b.mtx,1228045,1,0,0.026790,0.026262,3.698046
data/ssm/west0655_chemical process simulation problem/west0655.mtx,655,655,2854,0.021946,0.314493,0.004910
data/ssm/bcsstk31_structural problem/bcsstk31.mtx,35588,35588,608502,0.047229,0.336275,27.427907
data/ssm/bayer10_chemical process simulation problem/bayer10.mtx,13436,13436,94926,0.021920,0.298781,0.105374
data/ssm/bayer10_chemical process simulation problem/bayer10_b.mtx,13436,1,0,0.006627,0.006624,0.001636
data/ssm/poli4_economic problem/poli4.mtx,33833,33833,73249,0.031354,0.421901,0.149553
data/ssm/poli3_economic problem/poli3.mtx,16955,16955,37849,0.023882,0.299181,0.090667
data/ssm/bcsstk18_structural problem/bcsstk18.mtx,11948,11948,80519,0.020726,0.294176,0.142722
data/ssm/west0479_chemical process simulation problem/west0479.mtx,479,479,1910,0.021072,0.294893,0.004118
data/ssm/bayer04_chemical process simulation problem/bayer04.mtx,20545,20545,159082,0.025392,0.323254,0.226262
data/ssm/bayer04_chemical process simulation problem/bayer04_b.mtx,20545,1,0,0.006666,0.006733,0.002413
data/ssm/bayer09_chemical process simulation problem/bayer09_b.mtx,3083,1,0,0.007027,0.007280,0.000659
data/ssm/bayer09_chemical process simulation problem/bayer09.mtx,3083,3083,21216,0.021632,0.315866,0.024257
data/ssm/bayer08_chemical process simulation problem/bayer08.mtx,3008,3008,27576,0.023757,0.328426,0.026105
